English,Predicted_Spanish
"The Tampere Council, the motor and architect of this objective, has proposed certain goals, but five years, the time scale laid down for the implementation of Chapter IV of the Treaty, is too long to wait for the urgent solution which some problems require.","El Consejo de Tampere, el motor y arquitecto de este objetivo, ha propuesto ciertos objetivos, pero cinco años, el plazo establecido para la implementación del Capítulo IV del Tratado, es demasiado tiempo para esperar la solución urgente que algunos problemas requieren."
"So, the changes that we seek to make - as I say consistent with the very strong and clear recommendations of the Committee of Independent Experts - are not negative in any way at all.","Por lo tanto, los cambios que buscamos hacer, como dije, son coherentes con las recomendaciones muy fuertes y claras del Comité de Expertos Independientes, y no son negativos de ninguna manera."
I feel I speak for many smaller countries when I make that particular point.,"I feel I speak for many smaller countries when I make that particular point.
""Creo que hablo en nombre de muchos países más pequeños cuando hago ese punto en particular."""
"We therefore think that all the measures we have highlighted in terms of long-term strategies, regardless of the fact that we know that in the long term, some of the homeless may be dead, will help us to guarantee sustainable policies in the European Union.","Therefore, we believe that all the measures we have outlined in relation to long-term strategies, despite the fact that we are aware that in the long term, some of the homeless may be deceased, will help us ensure sustainable policies within the European Union. 

En consecuencia, creemos que todas las medidas que hemos resaltado en términos de estrategias a largo plazo, a pesar de que sabemos que a largo plazo algunos de las personas sin hogar pueden f"
"Mr President, last week, in the Andalusian town of El Ejido, we saw scenes which were inappropriate to the European Union in the year 2000.","Señor Presidente, la semana pasada, en la localidad andaluza de El Ejido, vimos escenas que eran inapropiadas para la Unión Europea en el año 2000."
"Of course, I am in favour of providing assistance where we can.","Por supuesto, estoy a favor de proporcionar asistencia donde podamos."
"We also wish to see these publicised on the Internet, so that there may be maximum transparency with regard to this specific point.","También deseamos ver esto divulgado en Internet, para que pueda haber la máxima transparencia con respecto a este punto específico."
"We have always condemned ethnic violence, no matter which ethnic group is the perpetrator or the victim.","Hemos condenado siempre la violencia étnica, no importa qué grupo étnico sea el perpetrador o la víctima."
Scrapie is a particularly insidious disease because the pathogen can remain active in dust for years and is then ingested in food.,"""El Scrapie es una enfermedad particularmente insidiosa porque el patógeno puede permanecer activo en el polvo durante años y luego es ingerido en los alimentos."""
"This would ensure that the peripheral countries and the ultraperipheral regions, the poorer regions in Europe, are in a position to operate successfully within the new euro currency zone, as well as within an ever-expanding internal market where the free movement of goods, persons, services and capital exist.","Esto garantizaría que los países periféricos y las regiones ultraperiféricas, las regiones más pobres de Europa, estén en condiciones de operar con éxito dentro de la nueva zona de la moneda euro, así como dentro de un mercado interno en constante expansión donde exista la libre circulación de bienes, personas, servicios y capitales."
"Mr President, I am speaking on behalf of the Italian Radicals and I would like to say to the President of the Council that he has seen what Parliament' s opinion is.","""Señor Presidente, estoy hablando en nombre de los Radicales Italianos y me gustaría decirle al Presidente del Consejo que ha visto cuál es la opinión del Parlamento."""
It is a fact that we are debating this programme today because the European Parliament insisted that this initiative should be maintained.,Es un hecho que estamos debatiendo este programa hoy porque el Parlamento Europeo insistió en que esta iniciativa debería mantenerse.
"If it is higher than at the previous elections, it will mean that we have successfully met our challenge.","Si es más alto que en las elecciones anteriores, significará que hemos cumplido con éxito nuestro desafío."
"Social Europe, used as a foil by the EU, has simply been eliminated from the agenda.","""Europa Social, utilizada como un contraste por la UE, simplemente ha sido eliminada de la agenda.""

Please let me know if you need any further assistance."
"It is essential for these regions to be able to benefit fully from INTERREG III, just like all the other regions in the Union, especially now that the REGIS programme dedicated to such isolated regions has been dropped.","Es fundamental que estas regiones puedan beneficiarse plenamente del INTERREG III, al igual que todas las demás regiones de la Unión, especialmente ahora que el programa REGIS dedicado a dichas regiones aisladas ha sido eliminado."
"Secondly, does he not agree that were the current government, at a national level, to pursue the kind of policies that Mr Haider and the Freedom Party have pursued at regional level, then there clearly would be a breach of Article 6(1) of the Treaty with regard to fundamental freedom and human rights and it would be incumbent upon the Commission to take the necessary action?","En segundo lugar, ¿no está de acuerdo en que si el gobierno actual, a nivel nacional, siguiera el tipo de políticas que el Sr. Haider y el Partido de la Libertad han seguido a nivel regional, claramente se estaría violando el Artículo 6(1) del Tratado en lo que respecta a la libertad fundamental y los derechos humanos y correspondería a la Comisión tomar la acción necesaria?"
Before leaving this area I would add that we agree with the rapporteur that the existing internal audit function must be maintained pending the establishment of the new independent internal audit service in a matter of months.,"Antes de irme de esta área, agregaría que estamos de acuerdo con el ponente de que la función de auditoría interna existente debe mantenerse hasta que se establezca el nuevo servicio de auditoría interna independiente en cuestión de meses."
My final point is that the regulations and the legislation must take into account the special position of the vintage car sector throughout the European Community because of its role in relation to the social sector and its environmental and economic considerations.,Mi punto final es que los reglamentos y la legislación deben tener en cuenta la posición especial del sector de automóviles antiguos en toda la Comunidad Europea debido a su papel en relación con el sector social y sus consideraciones ambientales y económicas.
"I am of the opinion that these are two important remarks, and that is why I am reiterating them here.","Estoy de la opinión de que estos son dos comentarios importantes, y por eso los estoy reiterando aquí."
"The Court's report is there for a reason, our response to it is there for a reason and it is important that it is followed through.","El informe del tribunal está ahí por una razón, nuestra respuesta a él está ahí por una razón y es importante que se le dé seguimiento."
"It was decided that the dialogue should continue, but in a more targeted and effective way, given that China has agreed with the European Union' s proposal to restructure the dialogue by means of better use of experts and to establish a closer link with the seminars.","Se decidió que el diálogo debe continuar, pero de una manera más específica y efectiva, dado que China ha acordado con la propuesta de la Unión Europea de reestructurar el diálogo mediante un mejor uso de expertos y establecer un vínculo más estrecho con los seminarios."
"Some parts of the proposal have been criticised, among them the phasing out of some heavy metals and brominated flame retardants, as well as the application of the principle of making manufacturers responsible for the disposal of electrical and electronic waste.","Algunas partes de la propuesta han sido criticadas, entre ellas la eliminación gradual de algunos metales pesados y retardantes de llama bromados, así como la aplicación del principio de hacer a los fabricantes responsables de la eliminación de los residuos eléctricos y electrónicos."
"That, combined with the essential improvement of certain aspects of the internal situation in that country, in the area of minorities and democratic institutions, would round off the image of political maturity which FYROM has, in fact, presented in other respects and which has made our European family welcome closer relations with it.","Eso, combinado con la mejora esencial de ciertos aspectos de la situación interna de ese país, en el ámbito de las minorías y las instituciones democráticas, redondearía la imagen de madurez política que, de hecho, la ARYM ha presentado en otros aspectos y que ha hecho que nuestra familia europea le dé la bienvenida a relaciones más estrechas con ella."
"I do not want to enter into this type of discussion because I think that it might, to use a French expression, préjuger the Portuguese Presidency' s views in the course of the negotiations in which it is involved on the Statute for Members.","No quiero entrar en este tipo de discusión porque creo que podría, para usar una expresión francesa, préjuger las opiniones de la Presidencia Portuguesa en el curso de las negociaciones en las que está involucrada en el Estatuto de los Miembros."
"The fundamental question, it seems to me, that faces this Parliament, the Commission and the Council is: What is Europe?","La pregunta fundamental, me parece, que se enfrenta a este Parlamento, la Comisión y el Consejo es: ¿Qué es Europa?"
"The reason she cannot do so is because, as some honourable Members have pointed out, she is in Hungary and Romania to see for herself the extent of the damage and how best we can help the Hungarian and Romanian authorities to tackle the crisis.","La razón por la que ella no puede hacerlo es porque, como algunos miembros honorables han señalado, está en Hungría y Rumanía para ver por sí misma la magnitud del daño y cómo podemos ayudar de la mejor manera a las autoridades húngaras y rumanas a abordar la crisis."
"Mr President, all the reports and pictures reaching us bear witness to the scale of the tragedy afflicting Mozambique.","Señor Presidente, todos los informes y fotografías que nos llegan dan fe de la magnitud de la tragedia que afecta a Mozambique."
"Mr Poettering, I do not doubt your concern for democracy but I believe that you are making a serious political mistake.","Señor Poettering, no dudo de su preocupación por la democracia, pero creo que está cometiendo un grave error político."
Question No 45 by (H-0041/00):,"La frase ""Question No 45 by (H-0041/00):"" se traduce al español como ""Pregunta n.º 45 por (H-0041/00):"". ¿Hay algo más en lo que pueda ayudarte hoy?"
We need from the Commission material we can use to help us scrutinise spending.,Necesitamos de la Comisión material que podamos usar para ayudarnos a analizar el gasto.
"I think, however, that instability is merely a symptom and that we should be looking at the underlying causes. I think that it is preferable to fight the causes rather than attempt to tackle the symptoms when this is probably not possible and when, as already stated, the measure concerned is pretty certainly at odds with the Treaty of Rome.","Creo, sin embargo, que la inestabilidad es simplemente un síntoma y que deberíamos analizar las causas subyacentes. Creo que es preferible luchar contra las causas en lugar de intentar abordar los síntomas cuando probablemente no sea posible y cuando, como ya se ha dicho, la medida en cuestión está bastante seguramente en desacuerdo con el Tratado de Roma."
"Thank you, Mr Blak.","'Gracias, Sr. Blak.' 

Translation to Spanish: 'Gracias, Sr. Blak.'"
I wish to express that view even if I respectfully disagreed and voted against the proposal of the President of the Socialist Group.,'Deseo expresar ese punto de vista aunque respetuosamente estuve en desacuerdo y voté en contra de la propuesta del Presidente del Grupo Socialista.'
"The proposals in this report are very welcome as an interim palliative, but Europe is a legal construction, its courts are central to its proper functioning.","Las propuestas en este informe son muy bienvenidas como una solución paliativa provisional, pero Europa es una construcción legal, sus tribunales son fundamentales para su correcto funcionamiento."
- (DE) I am making this statement on behalf of the CSU.,"""I am making this statement on behalf of the CSU."" would be translated to Spanish as: ""Estoy haciendo esta declaración en nombre de la CSU."""
I do not want to see a two-tier European Union built.,No quiero ver construida una Unión Europea de dos niveles.
The Commission would like to propose finding a solution to this problem which would then apply to all companies based in the European Union which employ staff from non-EU countries.,La Comisión quisiera proponer encontrar una solución a este problema que luego se aplicaría a todas las empresas con sede en la Unión Europea que emplean personal de países no pertenecientes a la UE.
A system of this kind is not something the EU can introduce without society' s sustaining damage as a result.,Un sistema de este tipo no es algo que la UE pueda introducir sin que la sociedad sufra daños como consecuencia.
"Both myself, as rapporteur, and the committee think we ought to say yes.","Ambos, yo como ponente, y la comisión pensamos que deberíamos decir que sí."
"I therefore call upon the Commission and the Council to find the information, the political will to provide genuine long-term solutions for fishing communities and not depend upon short-termism.","Por lo tanto, insto a la Comisión y al Consejo a encontrar la información, la voluntad política para proporcionar soluciones genuinas a largo plazo para las comunidades pesqueras y no depender del cortoplacismo."
"Today, Parliament is examining, for the last time, this text on 'end-of-life' vehicles and what is to be done with them: their destruction, a commendable intention with regard to our environment.","Hoy, el Parlamento está examinando, por última vez, este texto sobre los vehículos al final de su vida útil y qué se debe hacer con ellos: su destrucción, una intención loable en relación con nuestro medio ambiente."
"Establishing a system of aids to this sector intended to ensure the survival of successful firms was therefore justifiable, even though Article 4(c), of the ECSC Treaty prohibited any sort of state aid to the steel industry.","Establecer un sistema de ayudas para este sector con el objetivo de garantizar la supervivencia de las empresas exitosas era, por lo tanto, justificable, aunque el Artículo 4(c) del Tratado de la CECA prohibiera cualquier tipo de ayuda estatal a la industria del acero."
I find this question more and more worrying.,Encuentro esta pregunta cada vez más preocupante.
"Another, at least as important, lesson of our experience, however, is that it is better to prevent a crisis than to have to take emergency action subsequently.","Otra lección, al menos igual de importante, de nuestra experiencia, sin embargo, es que es mejor prevenir una crisis que tener que tomar medidas de emergencia posteriormente."
"So, for example, the island of Réunion is located on a trade axis between the countries of southern Africa and those of south-east Asia.","Pues, por ejemplo, la isla de Reunión se encuentra en un eje comercial entre los países del sur de África y los del sudeste de Asia."
"Lastly, but maybe most importantly, we are encouraging closer regional cooperation in a number of areas, bringing all the countries concerned together in a joint endeavour to address their common problems.","Por último, pero quizás lo más importante, estamos fomentando una cooperación regional más estrecha en varias áreas, reuniendo a todos los países involucrados en un esfuerzo conjunto para abordar sus problemas comunes."
Your Commission consists of the only 20 people in the EU who can propose that the quantity of legislation should be reduced.,La Comisión de usted está compuesta por los únicos 20 personas en la UE que pueden proponer que la cantidad de legislación debe reducirse.
"Projects have often remained half-finished, and their efficiency has been drained by administration and bureaucracy.","Los proyectos a menudo han quedado a medias, y su eficiencia ha sido mermada por la administración y la burocracia."
"Mr President, Commissioner, if we manage this first step successfully, we will have gained a great deal.","""Señor Presidente, Comisionado, si logramos este primer paso con éxito, habremos ganado mucho."""
b) Sittings of 1 and 2 March 2000 in Brussels,'Reuniones del 1 y 2 de marzo de 2000 en Bruselas'
I would therefore urge my colleagues not to support Amendment No 38 of the Christian Democrats and Amendment No 45 of some of the socialists.,"Por lo tanto, instaría a mis colegas a no apoyar la enmienda N.º 38 de los Demócratas Cristianos y la enmienda N.º 45 de algunos socialistas."
Specific compensation should be provided for the fishermen and shellfish farmers who have suffered considerable loss of income and who face having to invest considerable sums in order to repair everything and regain consumer confidence.,La compensación específica debería ser proporcionada a los pescadores y criadores de mariscos que han sufrido una considerable pérdida de ingresos y que se enfrentan a tener que invertir sumas considerables para reparar todo y recuperar la confianza del consumidor.
Mrs Roth-Behrendt said that nothing had ever been done.,La Sra. Roth-Behrendt dijo que nunca se había hecho nada.
If we see in the development of that nuclear power plant that there are concerns about safety we will discuss it with Turkey.,"Si vemos en el desarrollo de esa planta nuclear que hay preocupaciones sobre la seguridad, lo discutiremos con Turquía."
"So, Member States, we think that it is time that common foreign and security policy had a bridge between Council conclusions, between yards of communiqués and what we can actually deliver on the ground and I think that if we can achieve that the job of the High Representative will have been made a lot easier and the conditions of life for an awful lot of people around the world will have been made a lot better.","Por lo tanto, Estados miembros, creemos que ha llegado el momento de que la política exterior y de seguridad común cuente con un puente entre las conclusiones del Consejo, entre los metros de comunicados y lo que realmente podemos lograr en el terreno, y creo que si logramos eso, el trabajo del Alto Representante habrá sido mucho más fácil y las condiciones de vida de mucha gente en todo el mundo habrán mejorado mucho."
The collection and management of the fisheries data is needed to conduct the common fisheries policy.,La recopilación y gestión de datos pesqueros es necesaria para llevar a cabo la política pesquera común.
"Above all, Madam President - and here I will end - we must be able to express this in plain language, clearly, by changing to some extent the jargon which we use, because we cannot ask the Europeans, who are living through profound changes, to take part and show enthusiasm towards us if we continue to use a form of language which they find completely inaccessible.","Por encima de todo, Señora Presidenta - y aquí terminaré - debemos ser capaces de expresarlo en un lenguaje sencillo, claro, cambiando en cierta medida el lenguaje técnico que utilizamos, porque no podemos pedir a los europeos, que están viviendo cambios profundos, que participen y muestren entusiasmo hacia nosotros si seguimos utilizando una forma de lenguaje que encuentran completamente inac"
"I would also like to know whether, in this context, it would not be possible to do something to induce the Iraqi Government to take a humanitarian step and to release some information regarding the 615 missing Kuwaitis, or to set them free if this is within their power.","Me gustaría saber si, en este contexto, sería posible hacer algo para inducir al Gobierno de Iraq a tomar una medida humanitaria y proporcionar información sobre los 615 kuwaitíes desaparecidos, o liberarlos si está dentro de su poder."
"It is already included now: ""indication of the particular characteristics due to the manufacturing products"".","Ya está incluido ahora: ""indicación de las características particulares debido a los productos manufacturados""."
"Commissioner, I am quite familiar with the constraints imposed by the Treaties, but I believe that, it must be emphasised once again that the European economy is finding it hard to compete with the American economy, especially because of insufficiently open markets and a lack of genuine competition.","Comisario, estoy bastante familiarizado con las restricciones impuestas por los tratados, pero creo que es necesario enfatizar una vez más que la economía europea está teniendo dificultades para competir con la economía estadounidense, especialmente debido a mercados insuficientemente abiertos y la falta de una competencia genuina."
Is it true that the contents of all parts of the proposal will be approved?,¿Es cierto que el contenido de todas las partes de la propuesta será aprobado?
"As the Court of Justice recognised in 1996, the steel industry is particularly sensitive to competition-related disturbances.","Como reconoció el Tribunal de Justicia en 1996, la industria del acero es particularmente sensible a las perturbaciones relacionadas con la competencia."
"We need to pinpoint, and draw up an inventory of, the problem areas for coherence.",Necesitamos identificar y elaborar un inventario de las áreas problemáticas para lograr coherencia.
"As regards the volume of the next EDF, the EU has made its financial proposal.","En cuanto al volumen del próximo FED, la UE ha presentado su propuesta financiera."
Mr Rübig has the floor.,"""Mr Rübig tiene la palabra."""
"Nevertheless, despite these aspects, European citizens are disappointed and concerned: by unemployment which is not falling quickly enough; by a Europe trailing behind in technology, and seemingly falling even further behind, and in particular a scientific sector which is starting to lag a long way behind too; by the European institutions which appear distant and do not seem to be in step with the times, starting with the Commission itself.","Sin embargo, a pesar de estos aspectos, los ciudadanos europeos están decepcionados y preocupados: por el desempleo que no está disminuyendo lo suficientemente rápido; por una Europa rezagada en tecnología, y aparentemente quedándose aún más rezagada, y en particular, un sector científico que también está empezando a quedarse rezagado; por las instituciones europeas que parecen distantes y no pare"
Will you write to me before the next plenary with that information?,¿Me escribirás antes de la próxima sesión plenaria con esa información?
"""I would like to stress again that the Commission has accepted all the Ombudsman's recommendations contained in his draft recommendations of July 1999"".",Me gustaría recalcar de nuevo que la Comisión ha aceptado todas las recomendaciones del Defensor del Pueblo contenidas en sus recomendaciones preliminares de julio de 1999.
"They must focus on service to people and commitment to achieving freedom for each individual, without forgetting, naturally, that all this cannot and must not conflict with the need to create business, to invest and risk, and in an ordered and focused system, entrepreneurs are able to make a substantial contribution to social growth solidarity.","Deben centrarse en el servicio a las personas y en el compromiso de lograr la libertad de cada individuo, sin olvidar, naturalmente, que todo esto no puede ni debe entrar en conflicto con la necesidad de crear negocios, invertir y asumir riesgos, y en un sistema ordenado y enfocado, los empresarios pueden hacer una contribución sustancial a la solidaridad del crecimiento social."
I have read a few documents written by Mr Kinnock and we have every confidence in them.,He leído algunos documentos escritos por el Sr. Kinnock y tenemos plena confianza en ellos.
"At the same time of course, we need to create the power to act in order to facilitate the enlargement of the European Union.","Al mismo tiempo, por supuesto, necesitamos crear el poder para actuar con el fin de facilitar la ampliación de la Unión Europea."
I can assure you that those countries awarding flags would then take great care to avoid having to accept liability.,Puedo asegurarte que aquellos países que otorgan banderas luego se esforzarían mucho por evitar tener que aceptar responsabilidades.
"In addition, experience from other fields where observatories have been set up shows that, apart from rather dubiously creating jobs, they are not of any great benefit.","Además, la experiencia de otros campos donde se han establecido observatorios muestra que, aparte de crear empleos de manera bastante dudosa, no representan un gran beneficio."
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","Mientras tanto, me gustaría observar un minuto de silencio, como han solicitado varios miembros, en nombre de todas las víctimas concernidas, en particular las de las terribles tormentas, en los diversos países de la Unión Europea."
"Madam President, it is remarkable that the European Parliament has not yet adopted a position on the possible release of Mr Pinochet, despite the fact that international arrest warrants have already been issued.","Señora Presidenta, es sorprendente que el Parlamento Europeo aún no haya adoptado una posición sobre la posible liberación del Sr. Pinochet, a pesar de que ya se han emitido órdenes de arresto internacionales."
The Union can only impose sanctions in the field pertaining to administrative law when cases are exposed.,La Unión solo puede imponer sanciones en el ámbito del derecho administrativo cuando se exponen los casos.
In the designation of local URBAN programmes we need to make good use of local indicators and statistics on deprivation and health to enable us to more effectively target the most affected areas.,"En la designación de programas URBAN locales, necesitamos hacer un buen uso de indicadores locales y estadísticas sobre privación y salud para poder dirigir de manera más efectiva a las áreas más afectadas."
"In principle, I am in favour of abolishing public sector monopolies, whether in water, gas, electricity, telephone, satellite, cable or any other services.","En principio, estoy a favor de abolir los monopolios del sector público, ya sea en agua, gas, electricidad, teléfono, satélite, cable u otros servicios."
The second aspect of this new model for development policies relates to the need for a more integrated approach to development.,El segundo aspecto de este nuevo modelo de políticas de desarrollo se relaciona con la necesidad de un enfoque más integrado hacia el desarrollo.
"Unfortunately, developments are not moving in that direction.","Desafortunadamente, los avances no van en esa dirección."
"In this regard, too, the committee is prepared to go further than the Commission.","En este sentido, también, el comité está preparado para ir más allá de la Comisión."
"Madam President, the presentation of the Prodi Commission' s political programme for the whole legislature was initially a proposal by the Group of the Party of European Socialists which was unanimously approved by the Conference of Presidents in September and which was also explicitly accepted by President Prodi, who reiterated his commitment in his inaugural speech.","Señora Presidenta, la presentación del programa político de la Comisión Prodi para toda la legislatura fue inicialmente una propuesta del Grupo del Partido de los Socialistas Europeos que fue aprobada por unanimidad por la Conferencia de Presidentes en septiembre y que también fue aceptada explícitamente por el Presidente Prodi, quien reiteró su compromiso en su discurso inaugural."
The vote will be taken later this evening.,La votación se llevará a cabo más tarde esta noche.
"We can no longer take care of these matters at the end of a product' s life-cycle. Instead, we should avoid creating so much waste.","No podemos seguir ocupándonos de estos asuntos al final del ciclo de vida de un producto. En cambio, debemos evitar crear tanta basura."
"Now that is not a contradiction, since the demand for an instrument of criminal law and criminal proceedings law, as detailed in Recommendations I and II of the report, is actually about taking action in the EU' s own interests, which, as far as that goes, does not damage the legal interests of the Member States; on the contrary, it protects them, at least indirectly.","Ahora, esto no es una contradicción, ya que la demanda de un instrumento de derecho penal y derecho procesal penal, tal como se detalla en las Recomendaciones I y II del informe, en realidad se trata de tomar medidas en interés propio de la UE, lo cual, en la medida de lo que eso implica, no daña los intereses legales de los Estados miembros; por el contrario, los protege, al menos indirect"
"But, obviously, as some speakers have said - and I thank all of you for your totally positive and relevant interventions - we cannot allow a situation where, within one, two or three years, we have to say once again that we have not done what we should have done.","Sin embargo, obviamente, como han mencionado algunos oradores —y les agradezco a todos ustedes por sus intervenciones totalmente positivas y relevantes— no podemos permitir una situación en la que, dentro de uno, dos o tres años, tengamos que decir una vez más que no hemos hecho lo que deberíamos haber hecho."
"At a time when, Commissioner, after Seattle, we Europeans are fighting on the grounds of multifunctionality in rural development projects, why should we confine ourselves to a few limited criteria with resources that are far from sufficient?","En un momento en que, Comisario, después de Seattle, nosotros los europeos estamos luchando en base a la multifuncionalidad en proyectos de desarrollo rural, ¿por qué deberíamos limitarnos a unos pocos criterios limitados con recursos que están muy lejos de ser suficientes?"
"Instead of 2004, it should, of course, be 1 July 2000.","En lugar de 2004, debería ser, por supuesto, el 1 de julio de 2000."
Thank you for listening.,"Thank you for listening.
Gracias por escuchar."
"In addition to the bilateral meetings with Syria, I hope that Israel will also enter into negotiations with Lebanon within the foreseeable future and that, in the framework of economic and regional cooperation, a multilateral approach will appear possible.","Además de las reuniones bilaterales con Siria, espero que Israel también entre en negociaciones con Líbano en un futuro próximo y que, en el marco de la cooperación económica y regional, sea posible adoptar un enfoque multilateral."
"Thank you, Commissioner.","Gracias, Comisionado. 

This is the correct translation for 'Thank you, Commissioner.' 

Now, let's translate the following text to Spanish: 'Thank you, Commissioner.' 

The translation would be: 'Gracias, Comisionado.'"
"I also want to focus on the catastrophic effect the EU' s common agricultural policy has had on developing countries: dumping of beef in Sahel and South Africa, tomato purée in West Africa and milk powder in Jamaica.","También quiero centrarme en el efecto catastrófico que la política agrícola común de la UE ha tenido en los países en desarrollo: el vertido de carne de vacuno en el Sahel y Sudáfrica, puré de tomate en África Occidental y leche en polvo en Jamaica."
"Regarding this problem of partnership, I shall be extremely attentive to ensuring that the terms of the Structural Funds regulations are applied properly.","Con respecto a este problema de asociación, estaré extremadamente atento para asegurarme de que los términos de los reglamentos de los Fondos Estructurales se apliquen correctamente."
.,"I'm sorry, it seems like an error occurred and the closest translation from the vector database is not provided. Please go ahead and provide the English text you would like to be translated to Spanish, and I'll be happy to assist you with the translation."
"Finally, the report specifically highlights actions in favour of ethnic or sociological minorities.","Finalmente, el informe destaca específicamente acciones a favor de minorías étnicas o sociológicas."
"However the Union should be seeking, beyond that, to improve the quality of both surface and groundwater.","Sin embargo, la Unión debería buscar, más allá de eso, mejorar la calidad tanto de las aguas superficiales como subterráneas."
"The vote adopted by our committee proves that it is not only the European Commission, ECOFIN and the Central Bank, but also the European Parliament which advocates and stands for an acutely neo-liberal economic and social policy which has already eroded the living and working conditions of workers and the wider working classes in the Member States of the European Union.","El voto adoptado por nuestro comité demuestra que no solo la Comisión Europea, el ECOFIN y el Banco Central, sino también el Parlamento Europeo defiende y apoya una política económica y social neo-liberal agudamente que ya ha erosionado las condiciones de vida y trabajo de los trabajadores y las clases trabajadoras más amplias en los Estados miembros de la Unión Europea."
"This is important, but so is enforcement and there are, of course, a number of reasons why we need to pay particular attention to this.","Esto es importante, pero también lo es la aplicación y, por supuesto, hay una serie de razones por las que necesitamos prestar especial atención a esto."
"I can support the report, but there are a few points which are not completely to my taste.","Puedo apoyar el informe, pero hay algunos puntos que no son completamente de mi agrado."
"Mr President, I would welcome some action in this area.","Señor Presidente, agradecería alguna acción en esta área."
"Allow me to say first that what we are talking about is an environmental catastrophe, which also impacts on the economy and threatens livelihoods.","Permíteme decir primero que lo que estamos discutiendo es una catástrofe ambiental, la cual también impacta en la economía y amenaza los medios de vida."
We have achieved a compromise solution.,Hemos alcanzado una solución de compromiso.
"I think that this is an extremely important point: this sense of conditionality, which underlies the European Union' s position, is being maintained by the Council and will continue to be maintained.","Creo que este es un punto extremadamente importante: este sentido de condicionalidad, que subyace a la posición de la Unión Europea, está siendo mantenido por el Consejo y seguirá siendo mantenido."
I think that this work has been carried out extremely well.,Creo que este trabajo ha sido realizado extremadamente bien.
"It is all the more unacceptable for such a thing to occur twenty years after the Amoco Cadiz disaster, despite our saying at the time and many times since, ""Never again!""","Es aún más inaceptable que ocurra algo así veinte años después del desastre del Amoco Cadiz, a pesar de haber dicho en su momento y muchas veces desde entonces, ""¡Nunca más!""."
"Therefore, whilst I welcome the strict basic conditions, I would also call for the controls that are to be implemented by the Member States to be made as effective and simple as possible.","Por lo tanto, si bien agradezco las estrictas condiciones básicas, también pediría que los controles que deben ser implementados por los Estados miembros se hagan lo más efectivos y simples posible."
"We cannot carry on as we have done up until now, that is to say dealing with each detail on its own, often only after the harm has already been done.","No puedo seguir como lo hemos hecho hasta ahora, es decir, ocupándonos de cada detalle por separado, a menudo solo después de que ya se haya causado el daño."
This Community initiative succeeds the two forerunner programmes ADAPT and EMPLOYMENT and has a much smaller budget of around EUR 2.8 billion.,"Esta iniciativa comunitaria sucede a los dos programas anteriores, ADAPT y EMPLOYMENT, y tiene un presupuesto mucho más pequeño de alrededor de 2,8 mil millones de euros."
